medium,source_document,location_or_well,analyte,value_type,value,unit,date_or_event,depth_ft,is_background,n_samples,regulatory_limit,limit_type,exceedance_ratio,source_citation,status,notes
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,nitrate_as_n,min_detected_per_well_all_dates,12.0,mg/L,6/14/2006,,,16,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-6,nitrate_as_n,max_detected_per_well_all_dates,23.0,mg/L,6/6/2013,,,16,10.0,MCL (health-based),2.3,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,arsenic,min_detected_per_well_all_dates,1.4,ug/L,9/5/2013,,,20,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,arsenic,max_detected_per_well_all_dates,4.0,ug/L,3/18/2013,,,20,10.0,MCL,0.4,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,barium,min_detected_per_well_all_dates,63.0,ug/L,5/17/2012,,,20,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,barium,max_detected_per_well_all_dates,150.0,ug/L,3/18/2013,,,20,1000.0,MCL,0.15,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,lead,min_detected_per_well_all_dates,2.5,ug/L,3/18/2013,,,20,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=19
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,lead,max_detected_per_well_all_dates,2.5,ug/L,3/18/2013,,,20,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.167,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=19
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,manganese,min_detected_per_well_all_dates,1.1,ug/L,10/4/2006,,,20,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=15
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-7,manganese,max_detected_per_well_all_dates,260.0,ug/L,3/18/2013,,,20,50.0,Secondary MCL,5.2,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=15
